Student Id,Quiz,Midterm,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam_Marks,Total,Grade,Categories,Grade_Enc,Category_Enc
1,2.34,6.78,4.56,3.24,4.56,5.67,7.89,24.0,59.04,C+,Pass,7,4
2,8.17,12.43,2.87,1.87,2.89,2.34,2.34,29.0,61.91,B-,Pass,5,4
3,5.92,3.21,0.45,4.56,0.76,8.9,5.67,30.0,59.47,C+,Pass,7,4
4,1.45,9.87,3.12,2.34,3.01,1.23,1.23,33.0,55.25,C+,Pass,7,4
5,9.78,5.34,0.98,0.98,1.98,9.45,9.01,31.0,68.52,B,Distinction,3,0
6,3.21,11.09,4.32,3.76,4.32,3.78,3.45,35.0,68.93,B,Distinction,3,0
7,6.89,1.56,1.76,1.45,2.1,6.12,6.78,34.0,60.66,B-,Pass,5,4
8,0.76,8.23,3.89,4.01,0.54,0.98,0.98,32.0,51.39,C,Pass,6,4
9,4.53,2.9,0.54,2.1,3.67,4.56,4.56,36.0,58.86,C+,Pass,7,4
10,7.32,14.67,2.34,0.65,1.32,7.89,8.9,39.0,82.09,A,Excellent,0,1
11,2.11,4.12,4.01,3.43,4.01,2.01,2.01,33.0,54.7,C,Pass,6,4
12,8.98,10.78,1.67,1.21,2.45,8.43,7.12,5.0,45.64,C-,Pass,8,4
13,5.67,0.45,3.45,4.32,0.89,5.32,5.32,35.0,60.42,B-,Pass,5,4
14,1.23,7.12,0.21,2.76,3.21,1.76,1.76,33.0,51.05,C,Pass,6,4
15,9.01,13.89,2.98,0.54,1.76,9.01,9.45,36.0,82.64,A,Excellent,0,1
16,3.89,5.01,4.23,3.1,4.1,3.54,3.54,33.0,60.41,B-,Pass,5,4
17,6.45,11.76,1.09,1.98,2.34,6.78,6.01,31.0,67.41,B,Distinction,3,0
18,0.32,2.32,3.76,4.09,0.43,0.21,0.21,32.0,43.34,D+,Fail,9,3
19,4.09,8.99,0.32,2.56,3.89,4.89,4.89,23.0,52.63,C,Pass,6,4
20,7.76,3.65,2.01,0.32,1.09,7.45,8.43,34.0,64.71,B-,Pass,5,4
21,2.87,9.32,4.78,3.89,4.65,2.65,2.65,36.0,66.81,B,Distinction,3,0
22,8.54,4.98,1.43,1.09,2.56,8.21,7.56,38.0,72.37,B+,Distinction,4,0
23,5.01,10.65,3.1,4.45,0.21,5.43,5.43,9.0,43.28,D+,Fail,9,3
24,1.78,1.21,0.65,2.43,3.12,1.1,1.1,31.0,42.39,D+,Fail,9,3
25,9.45,6.87,2.56,0.76,1.54,9.67,9.67,34.0,74.52,B+,Distinction,4,0
26,3.12,12.54,4.89,3.12,4.78,3.32,3.32,36.0,71.09,B+,Distinction,4,0
27,6.78,3.98,1.32,1.65,2.01,6.01,6.45,34.0,62.2,B-,Pass,5,4
28,0.65,9.65,3.67,4.78,0.32,0.54,0.54,32.0,52.15,C,Pass,6,4
29,4.32,5.32,0.76,2.01,3.98,4.21,4.21,27.0,51.81,C,Pass,6,4
30,7.09,11.0,2.23,0.21,1.65,7.76,8.21,25.0,63.15,B-,Pass,5,4
31,2.76,2.67,4.56,3.54,4.23,2.87,2.87,28.0,51.5,C,Pass,6,4
32,8.43,8.34,1.87,1.32,2.76,8.09,7.34,34.0,72.15,B+,Distinction,4,0
33,5.2,14.01,3.54,4.23,0.12,5.09,5.09,36.0,73.28,B+,Distinction,4,0
34,1.87,4.78,0.09,2.87,3.54,1.45,1.45,39.0,55.05,C+,Pass,7,4
35,9.64,10.45,2.76,0.43,1.21,9.12,9.12,37.0,79.73,A-,Distinction,2,0
36,3.31,0.12,4.09,3.67,4.45,3.98,3.98,36.0,59.6,C+,Pass,7,4
37,6.98,6.89,1.98,1.54,2.87,6.45,6.22,35.0,67.93,B,Distinction,3,0
38,0.54,12.56,3.21,4.65,0.65,0.76,0.76,30.0,53.13,C,Pass,6,4
39,4.21,3.23,0.43,2.21,3.34,4.78,4.78,34.0,56.98,C+,Pass,7,4
40,7.88,9.9,2.1,0.89,1.1,7.34,7.01,38.0,74.22,B+,Distinction,4,0
41,2.0,5.57,4.45,3.21,4.21,2.22,2.22,30.0,53.88,C,Pass,6,4
42,6.45,4.78,4.21,3.89,3.45,7.32,8.23,22.0,60.33,B-,Pass,5,4
43,2.89,8.21,3.76,4.56,4.01,8.45,6.0,34.0,71.88,B+,Distinction,4,0
44,8.76,5.43,4.45,3.45,3.56,6.89,6.45,35.0,73.99,B+,Distinction,4,0
45,4.01,7.32,3.89,4.01,4.23,4.56,9.01,36.0,73.03,B+,Distinction,4,0
46,0.98,3.56,3.45,3.78,3.89,9.01,5.34,34.0,64.01,B-,Pass,5,4
47,7.32,6.89,4.12,4.32,4.32,5.23,8.9,31.0,72.1,B+,Distinction,4,0
48,2.1,2.45,3.56,3.12,3.67,8.67,4.76,32.0,60.33,B-,Pass,5,4
49,5.67,9.01,4.01,4.09,4.56,6.45,6.89,36.0,76.68,A-,Distinction,2,0
